Domain,Type,DR_Est,Spam_Level,Signup_URL,Link_Type,Approval,Notes
yellowpages.com.vn,Vietnam business directory,65,Low,https://www.yellowpages.com.vn/subpages/signup.asp,Business profile website link,Manual verification,"Indexed; Vietnam Yellow Pages free listing form; good NAP citation for services business; dofollow unknown"
trangvangvietnam.com,Vietnam business directory,65,Low,https://www.trangvangvietnam.com/subpages/signup.asp,Business profile website link,Manual phone/email verification,"Indexed; Vietnam local citation; already submitted once; use same NAP and avoid duplicate submissions"
trangvangtructuyen.vn,Vietnam business directory,30,Low,https://wiki.trangvangtructuyen.vn/dang-ky-thong-tin/,Business profile website link,Manual review,"Indexed; registration instructions and contact visible; category Moi Truong fits drainage/septic service"
danhsachvang.vn,Quang Ninh local directory,35,Low,https://danhsachvang.vn/huong-dan-them-doanh-nghiep-moi,Local business profile,Manual review around 12h,"Indexed Quang Ninh business pages; supports add business after account; requires accurate local info and possible proof image"
mapstore.vn,Vietnam map/business directory,25,Low,https://mapstore.vn/dang-ky-doanh-nghiep,Local business profile with website,Manual review 2-3 business days,"Indexed; submitted successfully; suitable for address 111 Cai Lan Bai Chay Ha Long; waiting approval"
hotfrog.com.vn,Vietnam local business directory,50,Medium,https://www.hotfrog.com.vn/add,Local business profile with website,Email/owner verification,"Indexed; has Hai Phong Ha Long Quang Ninh pages; easy add-business flow but UGC has some spam so use clean NAP only"
brownbook.net,Global business directory,70,Low,https://www.brownbook.net/add-business,Business listing website field,Instant or light moderation,"Indexed; direct add-business form includes country Vietnam, phone, email, website, social fields"
cybo.com,Global local business directory,70,Low,https://www.cybo.com/add-business/,Business profile website link,Account required,"Indexed; add-business redirects to login/signup; strong global citation, likely nofollow but safe entity"
addyp.com,Global business directory,35,Medium,https://addyp.com/user/register,Free business listing,Manual approval around 1h,"Indexed; free plan says no dofollow; useful only as citation, not priority backlink"
vn.zipleaf.com,Vietnam business directory,35,Medium,https://manage2.zipleaf.com/Create-Listing,Business listing website link,Manual review plus captcha,"Indexed Vietnam directory; easy form; recent UGC spam seen, use cautiously and only one clean branded listing"
blogger.com,Web 2.0 entity,95,Low,https://www.blogger.com,Branded Web 2.0 property,Instant after Google login,"Indexed; create brand blog/page with NAP and contextual link; link usually nofollow but strong entity support"
wordpress.com,Web 2.0 entity,95,Low,https://wordpress.com/start/user,Branded Web 2.0 property,Instant/email verification,"Indexed; create branded profile/site with service description and NAP; link usually nofollow"
tumblr.com,Web 2.0 entity,90,Medium,https://www.tumblr.com/register,Branded Web 2.0 profile/blog,Instant/email verification,"Indexed; acceptable entity link if profile is branded and not spun content; do not mass-post"
about.me,Profile/entity page,85,Low,https://about.me/signup,Profile website/social link,Instant/email verification,"Indexed; clean brand profile with website, phone, service area, NAP; likely nofollow"
gravatar.com,Profile/entity page,90,Low,https://gravatar.com/profile,Profile website/social link,Instant with WordPress account,"Indexed profile ecosystem; safe brand entity citation; likely nofollow"
