week,week_start,week_end,staff,category_code,category_name,task_type,priority,focus_keyword,angle,slug,target_existing_url,required_internal_links,content_status,image_status,review_status,next_action,notes
1,2026-06-03,2026-06-09,Nhan su 1,A,Hut be phot / hut ham cau,new_supporting_article,P1,"dau hieu be phot day khach san Ha Long","Goc khach san/nhà nghỉ Hạ Long mùa du lịch: mùi hôi, thoát nước chậm, xe bồn vào giờ thấp điểm","dau-hieu-be-phot-day-khach-san-ha-long","","/hut-be-phot-ha-long/ | /hut-be-phot-bai-chay/ | /bang-gia/ | /lien-he/",WAITING_SUBMISSION,PENDING_IMAGE_BRIEF,WAITING_SUBMISSION,"Nhan bai theo docs/SEO_WEEK1_SUBMISSION_REVIEW_2026-06.csv","Không dùng case thật nếu chưa có bằng chứng; dùng tình huống thường gặp"
1,2026-06-03,2026-06-09,Nhan su 2,B,Thong tac cong / chau rua,new_supporting_article,P1,"thong tac cong bep nha hang Ha Long","Dầu mỡ đông cứng ở bếp nhà hàng ven biển, bẫy mỡ, đường ống sàn bếp, không đục phá","thong-tac-cong-bep-nha-hang-ha-long","","/thong-tac-cong-nha-hang-ha-long/ | /thong-tac-chau-rua-quang-ninh/ | /thong-tac-cong-ha-long/ | /bang-gia/",WAITING_SUBMISSION,PENDING_IMAGE_BRIEF,WAITING_SUBMISSION,"Nhan bai theo docs/SEO_WEEK1_SUBMISSION_REVIEW_2026-06.csv","Cần cảnh báo không tự đổ hóa chất mạnh xuống ống bếp"
1,2026-06-03,2026-06-09,Nhan su 3,C,Thong tac bon cau,new_supporting_article,P1,"bon cau khach san Bai Chay bi tac","Ca chuyển đổi cao cho khách sạn Bãi Cháy: bồn cầu tắc giờ cao điểm, cần xử lý sạch và nhanh","bon-cau-khach-san-bai-chay-bi-tac","","/thong-tac-bon-cau-ha-long/ | /thong-tac-bon-cau-khach-san-quang-ninh-2026/ | /bang-gia/ | /lien-he/",WAITING_SUBMISSION,PENDING_IMAGE_BRIEF,WAITING_SUBMISSION,"Nhan bai theo docs/SEO_WEEK1_SUBMISSION_REVIEW_2026-06.csv","Không dùng lại nguyên nội dung bài khách sạn Quảng Ninh"
1,2026-06-03,2026-06-09,Nhan su 4,D,Nao vet ho ga / mui hoi / huong dan,new_supporting_article,P1,"nao vet ho ga nha hang Ha Long mua mua","Hố ga bếp nhà hàng đầy bùn mỡ, thoát nước chậm, mùi hôi sau mưa lớn","nao-vet-ho-ga-nha-hang-ha-long-mua-mua","","/nao-vet-ho-ga-quang-ninh/ | /nao-vet-ho-ga/ | /thong-tac-cong-nha-hang-ha-long/ | /lien-he/",WAITING_SUBMISSION,PENDING_IMAGE_BRIEF,WAITING_SUBMISSION,"Nhan bai theo docs/SEO_WEEK1_SUBMISSION_REVIEW_2026-06.csv","Cần ảnh hố ga/bùn lắng; không dùng poster quảng cáo"
2,2026-06-10,2026-06-16,Nhan su 1,B,Thong tac cong / chau rua,optimize_existing_page,P1,"thong tac cong Quang Yen mua mua","Tối ưu trang Quảng Yên: nhà ven sông, hố ga thấp, nước dâng sau mưa, đường ống sân vườn","thong-tac-cong-quang-yen","https://thongtaccongquangninh.com/thong-tac-cong-quang-yen/","/thong-tac-cong-quang-ninh/ | /nao-vet-ho-ga-quang-ninh/ | /bang-gia/ | /lien-he/",ASSIGNED,PENDING_IMAGE_REVIEW,PENDING_REVIEW,"Audit page + de xuat patch noi dung","Chỉ tối ưu, không tạo URL mới nếu không cần"
2,2026-06-10,2026-06-16,Nhan su 2,C,Thong tac bon cau,new_supporting_article,P1,"thong tac bon cau nha tro Cam Pha","Nhà trọ/khu mỏ Cẩm Phả: nhiều người dùng chung, tắc lặp lại, cần xử lý gốc nghẹt","thong-tac-bon-cau-nha-tro-cam-pha","","/thong-tac-bon-cau-cam-pha/ | /thong-tac-bon-cau-quang-ninh/ | /gia-thong-tac-bon-cau-quang-ninh/ | /lien-he/",ASSIGNED,PENDING_IMAGE_BRIEF,PENDING_REVIEW,"Viet bai theo prompt Nhan su 2","Không bịa tên khu mỏ nếu chưa xác minh"
2,2026-06-10,2026-06-16,Nhan su 3,D,Nao vet ho ga / mui hoi / huong dan,new_supporting_article,P2,"mui hoi nha ve sinh chung cu Cam Pha","Bài hỗ trợ xử lý mùi: siphon khô, thoát sàn, đường ống chung cư, khi nào gọi thợ","mui-hoi-nha-ve-sinh-chung-cu-cam-pha","","/xu-ly-mui-hoi-quang-ninh/ | /xu-ly-mui-hoi-nha-ve-sinh/ | /thong-tac-cong-cam-pha/ | /lien-he/",ASSIGNED,PENDING_IMAGE_BRIEF,PENDING_REVIEW,"Viet bai huong dan + FAQ","Phân biệt ảnh minh họa và ảnh thực tế"
2,2026-06-10,2026-06-16,Nhan su 4,A,Hut be phot / hut ham cau,new_supporting_article,P1,"hut be phot nha tro Uong Bi","Nhà trọ Uông Bí: bể nhanh đầy, lịch hút định kỳ, dấu hiệu trào ngược, xe bồn vào khu dân cư","hut-be-phot-nha-tro-uong-bi","","/hut-be-phot-uong-bi/ | /chu-ky-hut-be-phot/ | /dau-hieu-be-phot-can-hut/ | /bang-gia/",ASSIGNED,PENDING_IMAGE_BRIEF,PENDING_REVIEW,"Viet bai supporting + internal link","Không duplicate landing Uông Bí"
3,2026-06-17,2026-06-23,Nhan su 1,C,Thong tac bon cau,optimize_existing_page,P1,"thong tac bon cau Dong Trieu","Tối ưu để khác Quảng Yên: nhà dân, nhà trọ, cửa hàng, hệ thống ống cũ, không trùng title/FAQ","thong-tac-bon-cau-dong-trieu","https://thongtaccongquangninh.com/thong-tac-bon-cau-dong-trieu/","/thong-tac-bon-cau-quang-ninh/ | /gia-thong-tac-bon-cau-quang-ninh/ | /bon-cau-rut-cham-nguyen-nhan/ | /lien-he/",ASSIGNED,PENDING_IMAGE_REVIEW,PENDING_REVIEW,"Audit similar title + de xuat rewrite H1/H2/FAQ","Ưu tiên xử lý cặp title similar Đông Triều/Quảng Yên"
3,2026-06-17,2026-06-23,Nhan su 2,D,Nao vet ho ga / mui hoi / huong dan,new_supporting_article,P2,"co nen dung bot thong cong cho bon cau","Cảnh báo an toàn: bột thông cống, phản ứng nhiệt, bồn cầu sứ, khi nào dừng tự xử lý","co-nen-dung-bot-thong-cong-cho-bon-cau","","/hoa-chat-tu-thong-cong/ | /thong-tac-bon-cau-quang-ninh/ | /bon-cau-rut-cham-nguyen-nhan/ | /lien-he/",ASSIGNED,PENDING_IMAGE_BRIEF,PENDING_REVIEW,"Viet bai canh bao + checklist","Không khuyến khích hóa chất mạnh như giải pháp chính"
