id,status,priority,type,target_site,source_url,target_url,anchor,content_asset,notes
BL-001,SKIPPED,1,citation,Trang Vang Viet Nam,https://www.trangvangvietnam.com/subpages/signup.asp,https://thongtaccongquangninh.com/,Moi Truong Do Thi So 1 Quang Ninh,profile_short,"Bo qua theo yeu cau cua Tuyen"
BL-002,BI_CHAN_FORM_CAN_GUI_EMAIL,1,local_directory,Quang Ninh Toplist,https://quangninhtoplist.com/company/,https://thongtaccongquangninh.com/,thongtaccongquangninh.com,profile_long,"Registration cong khai bi tat; contact form CF7 tra spam; can gui email/Zalo toi quangninhtoplist@gmail.com hoac hotline 0888 310 444"
BL-003,CHO_LIEN_HE_TAY,1,local_business,Quang Ninh Today,https://quangninhtoday.vn/lien-he/,https://thongtaccongquangninh.com/gioi-thieu/,Moi Truong Do Thi So 1 Quang Ninh,profile_long,"Trang lien he chi cong khai hotline 0365306666 va Facebook Chi hoi DN tre TP Ha Long; chua co form de submit tu dong"
BL-004,CHO_KIEM_TRA,1,local_map,Google Business Profile,https://www.google.com/business/,https://thongtaccongquangninh.com/,thongtaccongquangninh.com,nap_pack,"Chi tao/cap nhat khi co quyen tai khoan va dia chi xac minh"
BL-005,CHO_KIEM_TRA,1,local_map,Bing Places,https://www.bingplaces.com/,https://thongtaccongquangninh.com/,Moi Truong Do Thi So 1 Quang Ninh,nap_pack,"Dong bo NAP voi Google Business Profile"
BL-006,CHO_KIEM_TRA,2,local_map,Apple Business Connect,https://businessconnect.apple.com/,https://thongtaccongquangninh.com/lien-he/,lien he doi ky thuat,nap_pack,"Can dia chi xac minh; khong tu bia dia chi"
BL-007,CHO_DANG,2,social_entity,Facebook Page,https://www.facebook.com/,https://thongtaccongquangninh.com/,Moi Truong Do Thi So 1 Quang Ninh,profile_short,"Cap nhat website/hotline/services neu co quyen page"
BL-008,CHO_DANG,2,social_entity,Zalo OA,https://oa.zalo.me/,https://thongtaccongquangninh.com/lien-he/,hotline 0963.953.533,profile_short,"Citation va chuyen doi; khong coi la backlink SEO manh"
BL-009,CHO_DANG,2,social_entity,YouTube Channel,https://www.youtube.com/,https://thongtaccongquangninh.com/,thongtaccongquangninh.com,profile_short,"Mo ta kenh + link website; dung cho entity va video SEO"
BL-010,CHO_DANG,2,social_entity,LinkedIn Company Page,https://www.linkedin.com/company/,https://thongtaccongquangninh.com/gioi-thieu/,Moi Truong Do Thi So 1 Quang Ninh,profile_long,"Neu co brand page thi cap nhat About/Website"
BL-011,CHO_DANG,2,social_entity,Pinterest Business,https://www.pinterest.com/business/,https://thongtaccongquangninh.com/,thongtaccongquangninh.com,profile_short,"Dung cho anh SEO; moi pin link den bai dung dich vu"
BL-012,CHO_DANG,2,business_profile,Hoptackinhdoanh,https://hoptackinhdoanh.com/danh-ba-doanh-nghiep/quang-ninh,https://thongtaccongquangninh.com/,Moi Truong Do Thi So 1 Quang Ninh,profile_short,"Can kiem form dang ky va dieu khoan truoc khi dang"
BL-013,CHO_KIEM_TRA,3,business_profile,BaoGia Net,https://baogia.net/vi/dn/Quang-Ninh-moi-p225/,https://thongtaccongquangninh.com/gioi-thieu/,Moi Truong Do Thi So 1 Quang Ninh,profile_short,"Chi lam neu co ho so doanh nghiep hop le; tranh spam directory"
BL-014,CHO_KIEM_TRA,3,business_profile,DauThau Net,https://dauthau.net/vi/dn/Quang-Ninh-moi-p225/,https://thongtaccongquangninh.com/gioi-thieu/,Moi Truong Do Thi So 1 Quang Ninh,profile_short,"Phu hop neu doanh nghiep co thong tin dau thau/ho so nang luc"
BL-015,CHO_VIET,1,guest_post,Local PR Bai 1,,https://thongtaccongquangninh.com/thong-tac-cong-ha-long/,thong tac cong Ha Long,pr_topic_ha_long,"Chu de: dau hieu cong thoat nuoc gia dinh o Ha Long bi tac"
BL-016,CHO_VIET,1,guest_post,Local PR Bai 2,,https://thongtaccongquangninh.com/hut-be-phot-quang-ninh/,xe hut be phot vao ngo sau,pr_topic_hut_be_phot,"Chu de: xe hut be phot vao ngo sau tai Quang Ninh"
