id,post_type,rest_base,status,date,modified,slug,link,title,excerpt,source,in_sitemap,is_public,is_local_landing,audit_priority,issues
3,page,pages,draft,2026-03-29T23:27:11,2026-05-10T01:42:43,privacy-policy,https://thongtaccongquangninh.com/?page_id=3,Privacy Policy,"Suggested text: When visitors leave comments on the site we collect the data shown in the comments form, and also the visitor&#8217;s IP address and browser user agent string to help spam detection. A",rest,false,false,false,non-public,
23,page,pages,publish,2026-03-30T10:34:01,2026-06-28T07:46:46,trang-chu,https://thongtaccongquangninh.com/,Thông Tắc Cống Quảng Ninh &#8211; Hút Bể Phốt,"Hút bể phốt, thông tắc cống, bồn cầu, hố ga tại Quảng Ninh. Có mặt 15-30 phút, báo giá trước, không phát sinh. Gọi 0963.953.533 / 0931.156.756.",rest,true,true,false,normal,
25,page,pages,publish,2026-04-04T06:28:08,2026-06-28T07:46:44,blog,https://thongtaccongquangninh.com/blog/,"Dịch vụ hút bể phốt Quảng Ninh: blog xử lý cống, bể phốt, mùi hôi","Blog vệ sinh môi trường Quảng Ninh: hướng dẫn xử lý cống tắc, bể phốt đầy, bồn cầu rút chậm, mùi hôi, hố ga tại nhà. Gọi 0963.953.533 / 0931.156.756 ngay.",rest,true,true,false,normal,
26,page,pages,publish,2026-04-04T13:39:15,2026-06-28T07:46:43,hut-be-phot-quang-ninh,https://thongtaccongquangninh.com/hut-be-phot-quang-ninh/,"Hút Bể Phốt Quảng Ninh – Xe Bồn Hút Sạch, Có Mặt 15 Phút","Dịch vụ hút bể phốt uy tín toàn tỉnh Quảng Ninh. Cam kết không đục phá, bảo hành dài hạn, phục vụ 24/7.",rest,true,true,true,high-local-seo,
33,page,pages,draft,2026-05-10T01:42:33,2026-05-10T01:42:33,,https://thongtaccongquangninh.com/?page_id=33,Elementor #33,,rest,false,false,false,non-public,
35,page,pages,publish,2026-04-04T23:03:15,2026-06-29T03:00:56,thong-tac-cong-quang-ninh,https://thongtaccongquangninh.com/thong-tac-cong-quang-ninh/,"Dịch vụ thông tắc cống Quảng Ninh &#8211; Uy tín, xử lý nhanh","Thông tắc cống Quảng Ninh tại Hạ Long, Cẩm Phả, Uông Bí, Móng Cái. Không đục phá, báo giá trước, bảo hành theo ca. Gọi 0963.953.533 / 0931.156.756.",rest,true,true,true,high-local-seo,
36,page,pages,publish,2026-04-04T23:03:56,2026-06-28T07:46:42,thong-tac-chau-rua-quang-ninh,https://thongtaccongquangninh.com/thong-tac-chau-rua-quang-ninh/,"Thông Tắc Chậu Rửa Quảng Ninh &#8211; Phá Mỡ Sâu, Có Mặt 15 Phút","Xử lý chậu rửa mặt, bồn rửa bát xả nước không trôi, có tiếng kêu ục ục.",rest,true,true,false,normal,
37,page,pages,publish,2026-04-04T23:04:25,2026-06-28T07:46:40,thong-tac-bon-cau-quang-ninh,https://thongtaccongquangninh.com/thong-tac-bon-cau-quang-ninh/,"Thông tắc bồn cầu Quảng Ninh cho nhà dân, nhà hàng, khách sạn","Thông tắc bồn cầu Quảng Ninh cho nhà dân, nhà hàng, khách sạn khi nước rút chậm, trào ngược hoặc có mùi hôi. Gọi 0963.953.533 / 0931.156.756 để kiểm tra sớm.",rest,true,true,true,high-local-seo,
38,page,pages,publish,2026-04-04T23:06:06,2026-06-29T03:20:18,nao-vet-ho-ga-quang-ninh,https://thongtaccongquangninh.com/nao-vet-ho-ga-quang-ninh/,"Nạo Vét Hố Ga Quảng Ninh &#8211; Tránh Ngập Mùa Mưa, Tiếp Nhận 05:00-22:00","Nạo vét hố ga Quảng Ninh – xử lý bùn rác, mùi hôi, thoát nước kém và chống ngập mùa mưa. Xe chuyên dụng, hỗ trợ nhà dân và doanh nghiệp. Gọi 0963.953.533.",rest,true,true,true,high-local-seo,
39,page,pages,draft,2026-04-04T23:06:09,2026-05-10T13:34:04,ve-sinh-duong-ong-quang-ninh,https://thongtaccongquangninh.com/?page_id=39,"Vệ sinh đường ống Quảng Ninh 24/7, xử lý cặn bẩn, báo giá rõ ngay","Vệ sinh đường ống Quảng Ninh 24/7, xử lý cặn bẩn, mùi hôi, dòng thoát yếu, báo giá rõ trước khi làm. Gọi 0963.953.533 / 0931.156.756 để đặt lịch nhanh.",rest,false,false,false,non-public,
