Campaign,Ad Group,Max CPC,Keyword,Criterion Type,Keyword Status
Search_MoiTruong_QuangNinh_2026,Nhom_Hut_Be_Phot_Quang_Ninh,100000.0,hút bể phốt quảng ninh,Exact,Enabled
Search_MoiTruong_QuangNinh_2026,Nhom_Hut_Be_Phot_Quang_Ninh,100000.0,hút bể phốt hạ long,Exact,Enabled
Search_MoiTruong_QuangNinh_2026,Nhom_Hut_Be_Phot_Quang_Ninh,100000.0,hút bể phốt cẩm phả,Exact,Enabled
Search_MoiTruong_QuangNinh_2026,Nhom_Hut_Be_Phot_Quang_Ninh,100000.0,hút bể phốt uông bí,Exact,Enabled
Search_MoiTruong_QuangNinh_2026,Nhom_Hut_Be_Phot_Quang_Ninh,100000.0,hút bể phốt quảng yên,Exact,Enabled
Search_MoiTruong_QuangNinh_2026,Nhom_Hut_Be_Phot_Quang_Ninh,100000.0,hút bể phốt đông triều,Exact,Enabled
Search_MoiTruong_QuangNinh_2026,Nhom_Hut_Be_Phot_Quang_Ninh,100000.0,hút bể phốt quảng ninh,Phrase,Enabled
Search_MoiTruong_QuangNinh_2026,Nhom_Hut_Be_Phot_Quang_Ninh,100000.0,hút bể phốt hạ long,Phrase,Enabled
Search_MoiTruong_QuangNinh_2026,Nhom_Hut_Be_Phot_Quang_Ninh,100000.0,xe hút bể phốt vào ngõ sâu,Phrase,Enabled
Search_MoiTruong_QuangNinh_2026,Nhom_Hut_Be_Phot_Quang_Ninh,100000.0,hút bể phốt giá rẻ quảng ninh,Phrase,Enabled
Search_MoiTruong_QuangNinh_2026,Nhom_Hut_Be_Phot_Quang_Ninh,100000.0,dịch vụ hút bể phốt,Phrase,Enabled
Search_MoiTruong_QuangNinh_2026,Nhom_Thong_Tac_Cong_Quang_Ninh,80000.0,thông tắc cống hạ long,Exact,Enabled
Search_MoiTruong_QuangNinh_2026,Nhom_Thong_Tac_Cong_Quang_Ninh,80000.0,thông tắc cống quảng ninh,Exact,Enabled
Search_MoiTruong_QuangNinh_2026,Nhom_Thong_Tac_Cong_Quang_Ninh,80000.0,thông tắc cống cẩm phả,Exact,Enabled
Search_MoiTruong_QuangNinh_2026,Nhom_Thong_Tac_Cong_Quang_Ninh,80000.0,thông tắc cống quảng ninh,Phrase,Enabled
Search_MoiTruong_QuangNinh_2026,Nhom_Thong_Tac_Cong_Quang_Ninh,80000.0,thông tắc cống tại nhà quảng ninh,Phrase,Enabled
Search_MoiTruong_QuangNinh_2026,Nhom_Thong_Tac_Cong_Quang_Ninh,80000.0,tìm thợ thông cống không đục phá,Phrase,Enabled
Search_MoiTruong_QuangNinh_2026,Nhom_Thong_Tac_Cong_Quang_Ninh,80000.0,thông cống nghẹt quảng ninh,Phrase,Enabled
Search_MoiTruong_QuangNinh_2026,Nhom_Thong_Tac_Cong_Quang_Ninh,80000.0,thông tắc cống 24/7,Phrase,Enabled
Search_MoiTruong_QuangNinh_2026,Nhom_Thong_Tac_Bon_Cau_Quang_Ninh,60000.0,thông tắc bồn cầu quảng ninh,Exact,Enabled
Search_MoiTruong_QuangNinh_2026,Nhom_Thong_Tac_Bon_Cau_Quang_Ninh,60000.0,thông tắc bồn cầu hạ long,Exact,Enabled
Search_MoiTruong_QuangNinh_2026,Nhom_Thong_Tac_Bon_Cau_Quang_Ninh,60000.0,thông tắc bồn cầu quảng ninh,Phrase,Enabled
Search_MoiTruong_QuangNinh_2026,Nhom_Thong_Tac_Bon_Cau_Quang_Ninh,60000.0,thông tắc bồn cầu tại nhà,Phrase,Enabled
Search_MoiTruong_QuangNinh_2026,Nhom_Thong_Tac_Bon_Cau_Quang_Ninh,60000.0,thợ thông bồn cầu nghẹt,Phrase,Enabled
Search_MoiTruong_QuangNinh_2026,Nhom_Thong_Tac_Bon_Cau_Quang_Ninh,60000.0,thông bồn cầu giá rẻ,Phrase,Enabled
